,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
Orbitron-Medium,52.1708962039,58.3414835156,61.701448732,57.4226369832,52.4519729913,37.337598691,61.8793132672,64.2831293044,61.0035053988,53.2134275614,61.7568433116,48.1501927357,36.2127660006,19.5359791879,29.8604349616,28.8903152736,57.8613253096,35.9369039361,39.84550049,28.6147174485,59.3977782879,50.5661027357,53.6184247867,82.7438095042,68.4510213795,57.5350746659,71.6454802408,63.8844213189,41.9022038834,62.7222794609,33.8552658544
OriginalSurfer-Regular,63.4239703804,77.403870788,64.8057901909,47.6711696342,69.6188171203,45.7025634048,52.8223523905,64.805076742,80.6730162619,72.6990587744,54.6477730953,61.7969695873,73.2198977233,82.7301185103,61.9990138025,48.3310569548,91.9323015721,51.7365158129,69.5956447833,35.517606272,48.6539596011,60.1465126865,79.5927980185,58.5811436426,32.3611835788,63.3944772473,44.769216896,89.3784084031,48.388846798,90.162225843,75.6037380446
Oswald-Bold,27.3728479843,32.560564277,44.3053881665,38.2329128962,57.2712481026,22.5455049741,75.6244457681,60.3142583594,33.3583678983,36.8514543529,47.627448637,51.3456174929,45.6349370156,38.5126281928,50.0366038255,17.099052376,64.3054019448,37.487207458,43.461749805,57.2900921503,48.7412276949,31.2917830171,64.0405771602,54.4641510461,71.3181978096,51.4229946057,49.3645348541,32.9585807127,34.2283449498,60.9707403275,36.3766123295
Oswald-Regular,51.8518230127,18.2333318059,43.4405676355,77.6242021309,51.6268265677,48.0391753465,70.439833136,50.3572152131,16.96627332,53.7710796501,44.2234509562,62.435735296,62.2180099643,35.6785010622,64.9311022308,22.2657891639,72.4257957394,43.9579167187,50.303218346,62.1775248882,42.6788903808,26.8599583777,66.2186450993,62.1166035801,43.6916109097,55.7231268138,42.3268546057,16.7878661594,43.6238547538,81.0833901785,54.3748619804
Overlock-Italic,52.6202566976,49.9001995326,37.2028753163,59.7044820187,77.8796732496,32.6268036412,30.8201815183,44.2818591749,45.2510440788,50.3597164789,41.6116606049,81.4286427182,90.782630913,51.6745415621,71.2438345395,57.7644016883,64.601330517,56.756149173,74.2811224833,59.2569804846,42.2587318287,36.2500105151,79.9542832073,58.7049743439,19.1857481667,21.6580233617,31.1519642008,44.7853498102,60.9557413021,81.9851029787,95.5303265665
PTSans-Caption,19.8595340973,25.6440124038,21.3620444742,41.7015923979,61.8864134605,22.3521696375,49.5640563226,33.9583102579,20.2956071838,42.1568902839,15.0768516159,86.0343069981,65.4386278354,36.5410371296,82.2381011595,17.2967513871,75.2358164927,49.0627506687,62.8478898059,83.3354964095,55.352614917,26.1504420554,82.905373125,6.48032923007,38.9680451238,26.4740704933,26.668816025,24.3321156589,55.477637216,90.234436062,71.2655007565
PTSerif-BoldItalic,56.0927451686,60.0010081012,32.0557127599,100.0,96.0756606292,83.9796836733,62.895494313,61.6880170422,50.6965584435,74.0965134984,52.9922623833,67.8754332198,87.617655259,53.3223546084,77.6050783723,52.0646031873,83.7949574041,45.3355186305,75.2252188128,78.4240361893,51.9614526667,26.764772603,84.1273044859,57.3314751745,27.3314557265,61.7504809181,32.6049988341,64.7761025487,40.839734509,96.725271557,59.1595779962
Palatino-Roman,36.9606862926,28.3865140705,11.6182912296,83.8848794117,58.5459534905,51.8804571384,47.6450462603,32.5649930912,22.0721730055,37.8487077034,42.0383278432,70.0746101608,82.2723653475,24.0414256383,90.8043196288,18.2030792682,67.3850399493,43.9065377418,58.4727120122,76.8853332724,44.9929517346,19.4440871244,85.766918281,50.3184358954,37.7298036208,12.99881691,31.6853947795,26.7696947599,57.1073881542,82.7531454666,63.2362646058
Paprika-Regular,77.8706138368,79.433339704,45.4669937481,73.8306964569,75.4616562675,57.0560105111,54.855600294,78.014638698,68.5448269761,62.9301666665,47.3895840535,62.2724459145,86.7588283318,64.0649949721,63.2640770836,79.9576223265,84.2887708638,58.5350887883,81.2758659604,40.6112468717,52.8522993553,46.9824298961,81.8555806851,57.6626006815,36.31954533,57.0504000545,33.3964901131,69.6178738257,47.8479541173,88.1823219078,66.6822043539
Parisienne-Regular,90.8389052142,94.8044210685,53.1735454158,59.745124952,89.3781836574,78.1788379914,23.4087403841,55.4623996555,90.3791681322,67.5257831525,71.6405191382,58.6401715959,90.6418208871,70.6139334283,49.7873355271,67.1304504435,49.2400473598,65.6189205579,77.6844548342,53.6489703064,34.0196502143,70.7605666106,79.3715540229,31.5735185675,11.4698599938,60.9301676688,45.6035718598,68.2937520239,70.3600360139,77.5703129672,85.9403427826
PasseroOne-Regular,65.3525487436,89.0558047576,66.9154809269,26.0053721704,31.1877059489,77.206323328,59.3814030333,62.0018566047,83.2516863441,48.9706169224,75.4843486636,40.9847806842,48.8391595065,49.1863711388,20.7433876636,52.3904375901,58.4122354621,42.4409277178,53.9041074137,15.9969807403,42.2154344238,67.3351000381,55.0263185057,61.9180556394,57.2386072238,54.6632063225,65.3549159484,88.0593245596,41.9798099836,65.5203091971,22.2765718408
Philosopher,44.9594328618,60.8326571578,31.6003025309,82.0043537271,78.1023092364,59.0268171636,42.3292268824,45.0931551125,45.1966455849,64.5905382082,53.7597874094,87.6229526899,75.1907786623,49.5958576075,62.8262781155,41.6874175949,62.073538583,50.7022766813,65.3060511601,66.9256121582,46.2353320547,39.6241147817,87.8364472856,33.7848044591,51.147088854,45.2674621461,25.2521938325,43.6341559166,55.4802506053,78.9874054868,89.3733194864
PlayfairDisplay-Black,55.2756026661,24.7869410868,35.2159749471,56.0118498488,78.0594303081,36.3080056464,82.9944950353,75.481597218,42.8862378552,68.5158651119,54.4276242681,40.2174814256,64.6906100754,35.1596463049,73.9652500061,33.861123783,76.0238004079,32.6810564459,66.4619205717,66.4933625957,58.4141822245,23.4592205254,91.2182777673,69.1562454368,45.3691145803,74.9833532703,45.3048587829,70.5482212021,30.8975660776,76.6422693847,12.7033316827
PlayfairDisplay-Italic,71.0799697547,76.4821551748,45.1952595322,56.3525624504,89.3768692527,71.028840749,35.2307620055,52.9706712297,77.61158876,72.9424810187,76.269453184,66.6103931123,74.9193145627,67.1435629066,41.0583365338,68.5315010925,66.1807332285,67.9236854857,85.1021691409,55.7264451947,44.4281306169,34.9358185585,94.5717892468,80.3811017639,36.1872488982,86.5656156372,38.1142132944,68.8831078712,61.7365340213,81.2983381246,72.8039387557
PlayfairDisplaySC-BoldItalic,100.0,75.6827550001,61.6833894147,55.3766840545,67.1193618805,78.6259244174,62.4781719621,90.7889275772,83.9706865496,86.466795994,89.4003197777,32.9064978412,70.2565332931,71.4741176659,25.7216856312,64.2737718742,67.6580495758,43.1215873974,67.7418532501,32.8528377027,62.0729787001,57.2488985308,70.0421412287,99.0767457284,26.3243852919,100.0,66.2573336965,100.0,34.9544013972,69.0685445992,20.7194876203
PressStart2P-Regular,7.98477435099,57.973472459,82.8480120485,0.0,0.0,23.6550791779,60.1734725933,49.047308042,33.7957265771,10.251376076,89.9434399942,4.80206457628,10.4103556414,0.0,10.434962864,50.3743503696,63.4138891958,6.11302941032,28.7749373905,6.98575230716,97.3387760206,71.131499769,0.0,47.5361382966,82.8882301085,46.5723204664,92.0399570698,48.5482816912,33.9584174381,0.0,6.99579167452
Puritan-Bold,52.1285024,23.8801435042,24.536249617,70.7617950359,67.519895039,30.8453819982,56.0273728715,46.6459659193,36.9075468226,50.5152004416,33.3454570289,74.3210699504,85.8126892334,50.1435624601,64.1761547797,41.0556658484,54.6525655788,48.4405619904,67.7579519764,73.820910869,44.0327841742,23.0437260514,82.5780863071,23.5531921784,42.9794134398,43.6875936685,15.4039863866,21.6824635217,50.9189074196,84.8594258993,59.7378749413
QuattrocentoSans-Italic,44.0879826108,31.8072593412,29.9940059247,78.3109862598,63.0205312188,60.9730864034,33.6049913973,39.7080450305,40.2872936353,37.7146709874,28.9814305622,84.2590746454,69.3787104242,46.6912355034,56.6163685157,57.5388474344,44.3620797395,49.3083413243,61.8315904517,67.8687665481,47.6953987007,37.7041909669,85.5241134392,18.8816231316,55.5830152702,20.7896045308,44.7237521936,46.7308724284,67.8585594569,67.2770880911,95.697220614
RacingSansOne-Regular,53.3798482354,52.7225737926,51.8535823331,59.3833440922,79.6921532335,74.1533091126,90.7800673298,70.6830380623,40.194263614,73.9839891874,49.7507952183,56.6098910753,67.422236866,59.6452591245,73.4309359808,63.0657944294,82.738649041,46.8971613261,68.2116395633,58.6270713811,56.2327781925,35.7990756298,73.1769561553,54.8039158868,33.8899936122,64.7434134076,50.3631102159,58.1280581605,35.8537405641,82.328849639,48.0636260105
Raleway-Bold,34.2070397155,43.6344334801,37.7150122821,52.2251342337,84.8123141848,32.9096067628,73.4946945143,62.2956739928,29.002008586,63.4561354128,42.4508239973,62.4051853644,86.9054021474,59.5450647911,100.0,7.78216051135,72.9651310758,32.6811302302,54.085574696,57.767658653,55.3222820814,34.5489062977,74.3288558443,47.7643798729,58.8542560853,55.3018012396,36.1111620564,45.1256491426,38.8317139447,87.2233084586,53.4180930439
Raleway-SemiBold,44.6125668434,26.6267111343,32.1160105577,66.7903681235,65.806963246,7.84692879207,61.4331408605,53.3546878348,27.3401881058,53.1025952376,35.8869600723,70.5671012444,70.9128565757,39.3349942709,66.7094348054,34.116572065,96.3620595539,39.4370281533,55.2059248447,59.6566427698,51.1129513495,31.9013694618,70.5907792755,32.9504603103,46.6965929224,21.8958387587,33.2773790023,28.1448487849,48.4814155047,88.9493312684,57.6339993867
Rambla-Regular,47.6241669307,46.7656109343,26.2245613438,50.0286703939,60.7516068557,39.5942301331,46.8828405905,37.0152682373,13.2884173445,45.8942893595,37.5784560153,87.7209500719,79.4067948659,38.8751357833,69.5737799977,11.6943463389,47.6213736642,38.7025118351,47.7898805973,56.0219595064,45.4242313793,21.7000902415,79.9517718465,33.8567751285,38.5201186061,53.95249432,18.3612467659,33.7732340997,51.1427871489,86.7478025317,62.1530325622
Ranchers-Regular,41.8726569164,48.2788037146,76.4298954941,40.7657003726,37.9099308196,47.2813469023,72.6094799288,66.2660206339,64.2681090262,49.9734285613,67.2813571379,31.5384809038,40.7054393671,48.2624720275,31.548584342,46.9244632867,77.5078364812,17.106281483,47.9945949985,32.4417437893,48.0109720812,74.9927182429,42.0032150938,18.7226290996,69.9810369286,48.1649713304,75.170511257,53.4276667082,11.5405193728,66.9013396025,26.9710896196
Rationale-Regular,56.7969225649,46.4206666087,48.6026532532,72.4330323741,56.2961047821,47.9949006131,40.1992227918,34.7201856441,50.5297301566,37.9848037507,46.7606155595,59.7107034391,63.0910880213,24.4000333299,33.6833408761,28.6071883398,57.7530763304,45.5475355324,35.2413029236,55.5423998716,40.9123070603,31.7486595392,75.4387145141,65.187134253,55.7680670828,18.4752093304,54.7029380372,48.0372282213,58.5996395457,75.3532743945,58.0504762087
Redressed,75.3645935239,73.7125172471,46.7382197671,71.9949162681,83.1496010646,45.2214801243,36.9860903618,54.8908985197,80.9682834531,59.0853298676,69.9515213639,68.5984649628,81.6556529625,76.570419086,39.0955478737,59.6249576971,77.6011035162,62.0651044927,82.9163309409,57.2953212162,37.0680348187,42.8322341995,82.1105971069,82.2567069349,26.9943406509,58.3287529921,35.5298355857,64.0024341671,56.8660089689,96.7438061337,73.3056966927
Roboto-Black,21.0864212126,22.7284047867,40.8054371377,76.9846210818,59.2244408311,25.2973316055,76.0978669135,64.954825829,31.8602001438,47.6822960499,36.0168035855,54.8508660373,56.7566545462,36.3884140701,81.9127557683,16.7140632436,83.2900694359,30.3085704293,52.2441048115,64.3433217126,52.524908509,35.5126272354,73.7099961782,32.4258938482,54.6250028044,53.4574269783,34.6446755779,27.5860698261,31.3224136175,74.6611278309,47.8637613156
Roboto-Light,10.2132068292,12.5764182456,1.95247692709,63.854920503,45.4864668182,24.9078572787,31.4874024068,20.8749402627,16.0506144546,24.7527896376,0.0,90.4307203395,70.5720790675,37.8886014206,77.9330848498,14.5537560276,55.4147589838,59.7331863693,46.6278314208,66.0956091231,46.7324673575,22.136214171,83.0171066287,1.24764728946,58.7955648631,10.9967316859,16.976170093,12.5346347097,66.7212361517,86.1527694221,82.9683923812
Roboto-MediumItalic,32.6684764112,38.5126225077,20.6288944467,75.8080478974,74.1545462355,55.7520324863,58.9665654575,48.99504952,35.8453662642,45.5006343236,37.6921206287,70.9277103795,83.9957070142,39.4619617648,88.7651123193,55.2135857212,80.9931089421,38.3872391196,69.7818704099,83.2365565869,48.2852671873,18.8005561984,75.4434222994,34.6806593392,49.1938767795,57.2335811694,22.4762311644,34.6222420524,48.6831932809,79.4233680775,59.8635423399
Roboto-Regular,22.594566801,4.07157994308,12.5362968595,87.0813269393,60.373357351,20.5735790625,51.4153990093,47.908737089,13.4418481163,48.9214600097,25.5659749672,71.6516968443,69.9919050585,33.8461307803,84.0993718649,20.2862954953,54.3587637147,37.7292676359,58.7705762372,71.7385943185,52.8619131375,9.83002222517,86.8346764604,27.3449974859,51.2120310796,26.3959717471,25.3939274611,21.5556674302,49.8170790662,79.8440192667,70.9131392473
RobotoCondensed-Light,17.7417823283,22.0851656331,21.2162245627,86.1067861273,53.0512348488,8.24272810189,35.7596945745,17.4140529647,30.592535183,31.4692898318,8.16103653889,92.749579129,61.9887053023,20.8255324848,67.1063977347,23.4267517522,35.5218268326,46.2033762294,44.7040418446,77.8305783997,37.2195370809,33.0932991401,84.313122693,33.2453073954,52.3577885242,10.751826004,28.2972663768,2.72561960573,67.2890191295,78.7784114898,75.4685894026
RobotoCondensed-Regular,36.925894695,18.077815133,8.49007506039,61.1791193613,82.5551968255,23.922852511,59.7843738726,42.9045912144,14.3048319133,45.2737089799,5.81288485794,74.0617499407,74.7836813653,43.3870772681,74.2602626909,10.2145464042,56.9575422231,39.0190020397,55.9921776894,65.2968857749,45.1561916063,21.3262857305,90.9963925073,15.2806034426,34.9581837032,36.5773612137,30.2721159506,34.3024571043,50.1195703516,83.3290651518,71.190094966
Rokkitt,26.5790570322,23.5676441214,14.3197543074,69.5341339587,71.1714120692,28.5588931674,38.9997087105,36.5681098153,24.0859754844,47.4273398333,31.3344779584,92.3307652977,68.8552775415,36.2149439889,64.741357632,18.9941754543,64.4765284935,49.9672009482,60.0376747465,81.1374049267,44.9140937753,12.025494831,95.7309877581,28.6813261481,48.7691062213,40.9175192132,27.8540314795,23.1055855436,59.5179966625,90.6748249196,74.2199809732
Rokkitt-Light,6.53013751835,24.0677682723,8.93023327511,67.9222858041,62.1634186557,27.5938331353,12.0161240986,14.3492920702,21.4077691884,41.0632072904,21.5403629977,89.5511534199,61.301834816,37.3915070422,61.691546431,20.9004617528,8.48439390141,48.6309830298,41.8317345523,83.7683400225,45.7821328646,20.3589551146,89.3457790115,16.9258062717,58.9003316012,14.3767978188,34.3805595922,7.8435218955,75.7097928497,55.6959766108,91.784555371
RopaSans-Regular,10.219306912,23.0782261985,29.2044084764,73.8530842295,73.1253789753,37.0353139606,48.382464057,35.5368259623,26.0622437062,25.6385182037,23.1169726157,78.3321112819,70.2375158595,41.1041589609,70.5522474646,26.2187995907,48.444163931,46.3624922964,46.8474136775,57.1500906724,41.3078742556,23.575387026,75.6674200488,24.5594553385,62.7302172806,15.3204328579,26.8653437318,28.1537713786,57.3998102479,82.3326483057,66.2077242549
Rosario-Bold,45.4122299565,21.0683548692,28.0293467345,50.312773331,74.1026441167,28.3551201579,59.5511892196,54.0055160526,34.5431691281,44.9503975653,40.3784048568,67.9917544951,78.9831803284,46.7973111424,77.7597262656,30.4045456367,74.7793051239,34.2508134802,51.875711461,58.1323688518,44.8554033224,19.0742629517,79.4298943008,32.3777899738,32.1927439828,42.7163321518,32.7904329741,43.6593630819,45.3468347754,79.649767379,50.1014188172
Rosarivo-Italic,60.9374376269,67.5001092648,43.3043471319,87.8525493714,76.4829038271,84.1348007807,36.2257684203,53.0563826883,72.8268940412,57.3935645325,59.3344580185,81.8059267629,88.1427996596,48.025396687,57.7126624135,49.7399530629,62.1785580671,72.4782090535,83.0451544463,81.5388842533,46.2670107371,45.2381894895,89.0588328024,67.4483112593,15.8234506694,61.5871753429,36.5588323199,67.8277368722,61.2021453794,83.0387415305,73.6540612207
Sacramento-Regular,60.2980254797,91.326669484,74.8549987846,45.2164975245,70.5928173971,51.2610116008,9.08906786933,33.1557678516,74.2474088896,61.3570821074,88.2761846336,65.0217355516,63.5392637395,49.0880215808,15.8042874566,57.7159140788,51.6876543099,57.4918654679,65.3538508157,30.6420889658,30.2161586917,74.0063251681,77.0431699124,67.1164122414,35.5893049661,41.3249879183,55.6991412566,60.2555899808,100.0,72.469940408,75.5761196959
Satisfy,67.9173015667,75.5467300297,59.8218068686,66.6981260449,87.7880670641,66.0499247729,18.4455656852,59.5919050119,84.386923473,70.8688416996,81.1436041329,63.9802175164,93.8316795983,81.6604850109,50.5437937655,72.5341489643,52.6415330443,69.122013967,75.4021024429,43.7818241132,38.8773142351,64.3098887292,84.2475543867,49.8949762021,44.4970227905,70.8323289082,27.3142372883,66.6244273105,64.8960475961,79.2266379392,72.8727812525
Sedan-Italic,79.3818482259,73.1542902687,59.0952446612,59.2896041349,80.7728885635,80.0769570254,36.8470065335,68.0691214692,84.4766959032,67.8216559907,70.432591036,73.7410161506,91.3514141751,100.0,43.0707382055,90.110996021,71.180114989,62.2383603011,86.9381002046,53.2815080571,40.0455409002,57.5527515383,89.0363594751,64.3422697332,14.9798961653,76.3973036633,34.4559980371,82.4466486248,60.7295071389,88.0768939946,80.5987213298
Sevillana-Regular,81.6608791599,97.5602875029,73.9313595964,32.2032693863,64.3063424985,66.5266781957,26.765871181,57.7279636366,75.2872878529,59.5876451741,86.5456410853,56.5066353288,91.369990618,72.7308309234,28.3136511558,62.6345709024,70.3979550347,67.5413886905,74.5436426326,27.8763236412,31.6187483723,65.5081377219,67.9649057903,63.3310499596,52.5679201648,60.0225469253,65.6626852041,79.5915850763,68.3356998468,69.0488955868,67.7421129423
Share-BoldItalicOSF,37.1651428325,35.3547095456,37.8325897297,61.998048753,80.6866206065,56.0290352384,63.3268378835,62.1556119052,28.9190597177,55.1331752786,32.1367759242,61.9564069781,92.4491916572,40.0998328368,74.2644398028,44.8209192751,83.3652062892,34.9888191525,68.8021282249,67.8651508924,47.2895733167,17.4161230391,82.0764541602,24.835740282,46.7594674614,60.23978237,32.6989575966,33.8900474472,41.7826858571,96.1618382334,39.8839443097
Share-BoldOSF,41.9760753254,40.1049604719,49.5450462759,44.7651475651,59.3668696452,40.8045848996,68.0976408737,55.496937262,30.476524587,61.4697330287,31.2665961228,60.1251548151,73.8928446515,23.7029177775,58.6771701958,10.0128202878,75.1790916232,36.9790939028,54.7161980134,53.8971982412,45.8917539045,20.996930277,83.2494070372,47.388957905,46.0894056274,45.6602999242,12.0157877942,30.7804603459,39.8085055423,82.0051323653,42.0630006313
ShareTech-Regular,46.8025604474,37.4125317712,31.4368059172,45.117246264,60.173194624,52.8976207399,46.9184541129,47.7580620504,36.236069199,23.0928192737,37.8424163356,78.8634154414,70.7232356789,22.0144006981,68.8259807288,21.1349907975,57.8670956125,50.2215273369,61.612982373,53.0847599782,41.1578413633,32.2069717916,88.4278068187,33.6800358662,60.1770693869,47.5145536186,30.4552293783,49.9090475194,56.2118213949,75.4146671317,65.1041808474
SigmarOne,27.3028235928,41.8754217232,50.1230514311,36.7037084416,41.2909413853,54.0257562694,88.8301716806,84.588708994,41.9610194537,29.6902005882,64.9177716565,37.5365823148,55.6934295957,12.7495719591,53.0263719039,24.9498888879,73.5530364979,8.75802567521,51.041497765,26.9413008085,60.7404945102,53.6903378007,54.4377764115,41.4561833794,72.291529867,63.4759598161,54.7237793909,58.4806665577,29.4355869658,61.6372324793,7.12256184997
Signika-Light,28.3960278912,28.6007470063,13.3732307059,69.3231936263,58.2195336332,26.2237864918,18.2051951926,43.5081404085,27.8484140938,35.0063125932,11.7342505957,86.0989525081,63.6076954827,34.0654756574,69.8673151355,32.3596913312,47.8019650783,55.8381983291,54.5046051099,87.0379503363,44.1403396579,21.4151795498,92.2923631251,26.0586921583,39.590625507,9.39651140704,41.7099419747,2.47437415692,59.0179485794,83.4273972901,76.5793897604
Signika-Semibold,44.7299835469,28.4612290847,24.1075940812,65.7485452518,72.0837813257,32.8844443213,63.8983257575,61.8617796816,27.8184927501,51.2117368023,36.5994279904,60.5912899624,80.0006125782,45.6140081288,85.704072422,26.7044899334,91.2209986453,50.9755150675,63.2275896992,78.3149692931,44.8185108826,24.3665116533,77.8695730199,30.0082572828,52.9231368313,43.8794492288,14.8501445945,49.3888392212,39.5872113857,85.666739713,49.7276365489
Simonetta-Black,66.0371731463,55.1332309607,47.86833898,54.1777746264,78.0726453027,64.6188983732,64.5576688103,67.8463759404,69.580226245,69.4381305726,60.1004925542,58.3961902176,81.7138154475,58.937720226,59.2323002378,44.3544278312,91.6065465869,48.1853319867,68.5706911096,55.0340033034,47.0165590267,38.7668915453,69.1021169613,62.4455107561,30.2582673331,58.1865104938,38.769345202,53.5161871854,36.25759778,87.5237397678,51.7761574833
Slackey,47.1452990502,78.5410477647,73.4892223994,14.7681259064,54.5757087289,46.9006746368,70.1040755505,84.7473839446,75.998920734,62.6498125358,89.7006052358,47.116707609,49.3277374529,58.4894220605,25.1063947569,60.8236766911,73.6773677645,17.8256695492,56.1571171732,14.4078093499,62.4845340109,92.7028686739,45.510396906,74.5226569747,78.0752017428,61.3477406896,63.9243879925,73.7234671265,33.5430570571,64.553944754,23.4489006924
Smokum-Regular,53.2901127711,58.2040152379,71.5160789442,48.1910601362,29.5966031582,58.5946148133,46.2138285634,56.367469105,67.7387928181,26.4835132233,94.6057989097,36.7646312048,36.3410385882,32.8529974076,2.08962484424,40.8812346425,52.4316418759,26.0777053961,39.9312661371,27.5351240077,36.0198103742,71.5130086521,34.3929799481,73.5025950116,72.8484422441,40.3544125549,77.6487135163,70.533752027,51.0551232662,42.4562956019,24.2561192454
SonsieOne-Regular,64.3357834564,67.9831140474,79.1383704457,29.0197840286,78.1862217475,59.190140588,73.6980743852,100.0,95.8355358944,63.4341444308,95.4865845429,36.106914038,68.7161469845,63.9004501722,45.7438274854,69.7436921781,84.5869749513,35.8510078819,69.795683779,50.5539103285,62.0038933694,71.6324885192,79.7436098425,57.0268521483,58.9125224006,84.725431017,59.7703185231,91.5847867054,25.1070797182,67.3854128212,30.4394611884
SourceCodePro-Black,32.4085187823,58.4289822856,62.3206186795,40.528605828,53.7111053911,25.0656130691,72.7452876408,51.2861404658,51.1830989083,47.3562528694,65.4222327789,47.3916648809,72.2599862636,41.4226805916,43.3955566168,43.2228804682,82.9001440413,36.4451174162,50.5589002657,48.1219373922,59.1486185287,46.9557547922,65.7775561431,71.1920990989,65.9513245275,52.8532495746,52.0220319845,48.444841677,35.0747617202,73.4692626096,49.6285114083
SourceCodePro-ExtraLight,0.0,16.5813352084,34.2918143237,55.0392999971,38.3654685779,56.739328093,10.4666791954,16.5944278484,24.7221904353,14.2689617123,21.6942309637,63.4289110891,42.0726969153,2.53323352669,23.6955223414,30.4128332593,31.6285484732,44.8853336426,27.5923476955,36.98799427,53.9812712444,47.4490390783,70.7025111405,4.04055188074,90.143914394,6.87610828046,70.1743310092,43.1235485129,75.8107818688,60.7249027369,74.5913078555
SourceCodePro-Light,27.1393153334,42.2723316142,42.2342881749,64.8122319477,38.7298167029,37.1504428636,4.87211985479,0.0,27.5381776299,1.74196961017,40.4010210554,73.8344474074,45.1992204277,14.6013679143,46.3404610288,37.1245237301,35.2949754537,32.0944317311,34.4043337887,65.415034687,54.222295316,51.1798686796,73.7222263025,27.6210258643,70.3665282085,18.7837437347,72.6833709392,34.9913955655,78.3255009451,63.4617655187,80.0928761608
SourceSansPro-LightIt,34.677357539,34.189492962,28.8891398025,67.3383239436,42.5042430457,53.7774317532,22.4219520268,21.7585908425,39.1476707524,2.71335827811,38.4380703606,78.06693931,70.7467052576,33.5484055352,57.0676216767,47.5115609201,45.7100593942,45.6451267174,40.4507085589,53.1492805041,42.8165892001,32.5415795385,83.6227585022,32.1105008585,70.5309054724,3.00374106915,41.2869149955,21.7829829342,72.0979341547,74.8458647223,74.2279195042
SourceSansPro-Semibold,30.2585348994,18.3290249991,32.9667892542,68.0154110119,57.1493118094,13.2328917252,56.5174174752,62.4417508185,0.0,40.5660292186,19.9994568659,73.3932663852,89.0217641265,50.675060502,64.5796633836,29.4097758331,70.9991760294,37.0104788132,52.1798942984,85.4295376958,51.1491291676,12.0059444703,84.6531676501,42.9826100264,19.2859112513,31.0006650381,21.7117993072,29.0947249238,49.6052927216,79.7020379546,57.5429528913
StardosStencil-Bold,65.006228671,53.7521897758,40.8482478648,36.4083563131,84.8304273564,50.662820857,59.6418985268,76.1335004462,45.0824104638,69.4866887606,61.1705098036,61.0555064559,79.0212721545,51.1701394389,67.2130522178,23.7567017879,73.6598196341,42.490224651,73.4667816619,65.7138900704,53.7905667649,45.6282110257,78.9427436898,65.2492342004,50.1389656033,50.6007186495,48.5444083206,46.2575324998,41.840091674,72.4319724331,26.381474772
Strait-Regular,24.1115593165,32.7840731956,30.342492499,57.5668706072,55.0032690307,46.3327166931,42.2265060514,33.3794333599,16.3670664845,35.0088868437,13.3294608288,82.319369836,70.9445353451,34.2838181675,81.0240560445,18.1570744022,52.8426960174,40.4326481058,64.8256332467,65.9285643955,41.1521447344,32.7630467554,83.487704502,38.2490651117,52.622223233,45.5754901619,45.5126770542,18.645339818,62.1735868395,75.0624217555,66.2950095635
Syncopate-Bold,28.5550373592,54.1615986659,58.5175278061,21.8180346294,41.318017548,9.77018899574,79.8067346662,83.7193771796,36.8007526251,38.7799836481,62.7045963525,33.9006953568,34.8629111698,30.2658372353,26.0389197814,17.9888778988,64.1101764809,13.7198788212,52.3971076565,39.9890495375,70.5719546138,59.8478841548,47.550787296,68.0151416111,81.6079097853,58.2456250873,76.3555112066,58.1066288629,26.7101008069,56.5724998677,26.4091659641
Telex-Regular,11.4894089082,29.2459205509,19.1083892051,45.776202494,61.4829971991,20.6101237215,50.5444560038,33.9806565387,5.69091737573,43.0831847672,22.8365069481,76.2372804667,82.9045245552,54.7130241054,78.903720962,10.0577466093,63.2108228705,51.757547868,59.5440064389,66.5897683782,50.1500003338,14.2310214672,80.90826437,32.0608760868,50.7226667318,35.7689405134,19.9164610978,29.6015245673,54.2470222845,87.9563971825,76.6122907026
TenorSans,24.1311894004,22.9168852568,28.0904941878,72.7587777495,62.6049442627,28.2046529578,43.9377178325,33.3966141561,7.07765069977,31.5426119686,16.3572344575,86.6085526845,70.7179751013,40.1714451385,58.2542866385,27.2958549341,51.3100059804,49.9888537026,56.2480630611,79.9898248628,48.5702995183,17.9210120847,83.3289423925,14.0362423532,45.3680005756,7.0032920889,13.159163777,20.9256155744,60.7349157381,91.2112913912,73.6548582886
Thabit,9.54211801944,35.7899700033,5.40949490138,68.249470765,25.6837594416,38.85283414,17.7630404546,22.6128260895,31.2546249569,9.87064499406,41.8528222764,76.1099588766,66.5313793244,27.0352379017,72.361946395,20.8486980669,30.9681204462,37.3212394966,44.3419930749,59.0610755477,51.2202693643,32.1047435827,83.0100526322,19.1487611619,86.4929949744,18.6758792155,42.5307448289,24.7961716275,69.8167709746,66.0631183904,82.2654082134
Tinos,15.2081765102,8.90806452491,3.52527100295,80.1746375178,77.1704194736,35.3005863109,49.3373542255,21.9917386546,14.6904651249,50.7296018364,28.276619524,77.3977784099,65.9601488514,40.432853686,91.3429032432,22.7479545496,67.2343411089,45.9107383267,60.3876680117,85.349337133,44.7242724976,16.40227144,95.3956144003,43.9977083416,27.2553110356,25.9786867319,20.0056361485,23.0207641353,59.8032134403,93.0257474642,73.7910627642
